ISO,Country Name,Region,Disaster Type,Disaster Subgroup,Disaster_Count
LBN,Lebanon,Asia,Extreme Temperature,Meteorological,2
FRA,France,Europe,Earthquake,Geophysical,2
MDV,Maldives,Asia,Epidemic,Biological,2
MDV,Maldives,Asia,Flood,Hydrological,2
MEX,Mexico,South America,Drought,Climatological,2
KOR,South Korea,Asia,Epidemic,Biological,2
KOR,South Korea,Asia,Earthquake,Geophysical,2
ETH,Ethiopia,Africa,Volcanic Activity,Geophysical,2
MEX,Mexico,South America,Volcanic Activity,Geophysical,2
MWI,Malawi,Africa,Earthquake,Geophysical,2
GAB,Gabon,Africa,Flood,Hydrological,2
HKG,Hong Kong,Asia,Flood,Hydrological,2
DZA,Algeria,Africa,Storm,Meteorological,2
HND,Honduras,South America,Wildfire,Climatological,2
NCL,New Caledonia,Oceania,Storm,Meteorological,2
NGA,Nigeria,Africa,Mass Movement,Hydrological,2
HND,Honduras,South America,Earthquake,Geophysical,2
IND,India,Asia,Wildfire,Climatological,2
HRV,Croatia,Europe,Earthquake,Geophysical,2
IRN,Iran,Asia,Mass Movement,Hydrological,2
NIC,Nicaragua,South America,Earthquake,Geophysical,2
MYS,Malaysia,Asia,Earthquake,Geophysical,2
TJK,Tajikistan,Asia,Storm,Meteorological,1
